,lineId,season,name,team,position,situation,games_played,icetime,iceTimeRank,xGoalsPercentage,corsiPercentage,fenwickPercentage,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,playerId1,playerId2,playerId3,corsi_influence_on_player2,corsi_influence_on_player_1
570,84746978476807,2021,Borowiecki-Tennyson,NSH,pairing,5on5,6,3077.0,20.0,0.54,0.41,0.41,21.39,2.27,1.56,5.28,0.71,11.54,7.63,2.2,2.39,2.32,20.0,9.0,8.0,37.0,4.0,4.0,1.0,4.0,0.0,4.0,13.0,16.0,25.0,9.0,24.0,19.0,56.0,4.0,11.0,19.0,9.0,1.0,0.63,1.3,0.34,1.0,2.0,1.0,39.12,29.0,30.52,6.0,0.33,0.44,0.44,2.15,2.28,2.27,29.51,1.91,1.93,7.14,1.0,17.35,12.66,1.87,1.9,1.87,29.0,13.0,12.0,54.0,0.0,4.0,0.0,7.0,2.0,14.0,15.0,29.0,42.0,4.0,16.0,19.0,27.0,3.0,8.0,34.0,7.0,1.0,1.03,0.65,0.24,0.0,0.0,0.0,53.27,42.0,41.2,4.0,0.39,0.38,0.38,1.93,1.91,1.89,8474697,8476807,,0.020724991286162342,-0.07613611760013672
572,84741458478859,2021,Mikkola-Bortuzzo,STL,pairing,5on5,31,5835.0,234.0,0.4,0.38,0.4,34.13,3.43,2.62,7.15,1.04,19.39,13.37,3.38,3.36,3.31,35.0,12.0,13.0,60.0,3.0,2.0,0.0,3.0,0.0,15.0,24.0,32.0,44.0,6.0,12.0,27.0,62.0,10.0,13.0,32.0,13.0,2.0,1.41,1.61,0.41,0.0,3.0,0.0,58.64,47.0,45.59,9.0,0.54,0.41,0.41,3.56,3.49,3.46,48.85,5.1,3.5,11.46,1.68,27.95,20.3,4.82,5.16,4.88,56.0,14.0,26.0,96.0,9.0,7.0,2.0,14.0,0.0,22.0,18.0,47.0,61.0,7.0,14.0,38.0,52.0,15.0,16.0,50.0,12.0,8.0,1.45,1.51,2.15,5.0,1.0,3.0,97.44,70.0,71.56,10.0,0.73,1.73,1.73,4.11,4.17,4.07,8474145,8478859,,-0.0681367513421805,-0.10179529221508465
576,84785008481178,2021,Provorov-Zamula,PHI,pairing,5on5,6,1550.0,27.0,0.26,0.33,0.35,5.33,0.3,0.26,0.96,0.14,2.65,2.69,0.3,0.29,0.29,6.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,6.0,7.0,1.0,2.0,7.0,9.0,2.0,3.0,6.0,1.0,0.0,0.14,0.16,0.0,0.0,0.0,0.0,9.53,7.0,7.37,1.0,0.05,0.0,0.0,0.35,0.35,0.35,9.5,0.83,0.8,2.32,0.34,5.14,3.57,0.83,0.85,0.84,10.0,3.0,5.0,18.0,2.0,2.0,1.0,5.0,0.0,1.0,3.0,8.0,11.0,2.0,4.0,16.0,8.0,6.0,5.0,9.0,4.0,0.0,0.36,0.48,0.0,1.0,1.0,0.0,17.73,13.0,12.86,4.0,0.16,0.16,0.16,0.84,0.85,0.85,8478500,8481178,,-0.21756563888514874,-0.14243543843503437
578,84745678476368,2021,Claesson-Bogosian,TBL,pairing,5on5,1,656.0,3.0,0.35,0.53,0.47,5.9,0.33,0.44,1.45,0.18,3.34,2.25,0.32,0.33,0.32,4.0,4.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,4.0,8.0,0.0,0.0,6.0,8.0,0.0,0.0,7.0,1.0,0.0,0.25,0.08,0.0,0.0,0.0,0.0,10.26,8.0,8.31,0.0,0.09,0.05,0.05,0.38,0.38,0.36,6.8,0.63,0.54,1.22,0.2,3.71,2.71,0.61,0.63,0.61,8.0,1.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,5.0,1.0,8.0,9.0,0.0,0.0,7.0,4.0,2.0,0.0,6.0,3.0,0.0,0.26,0.38,0.0,0.0,0.0,0.0,8.62,9.0,8.64,0.0,0.11,0.0,0.0,0.74,0.74,0.72,8474567,8476368,,0.04581818181818187,0.060938550683167614
579,84746028475625,2021,Irwin-Schultz,WSH,pairing,5on5,13,7138.0,45.0,0.63,0.58,0.61,73.16,5.78,5.14,17.55,2.4,41.34,29.8,5.51,5.85,5.58,76.0,26.0,26.0,128.0,8.0,8.0,2.0,17.0,3.0,29.0,37.0,68.0,94.0,5.0,10.0,56.0,59.0,10.0,11.0,74.0,24.0,4.0,2.01,2.79,0.98,1.0,6.0,1.0,130.62,102.0,103.18,9.0,1.07,1.24,1.24,5.62,5.67,5.53,46.38,3.47,3.02,10.87,1.46,25.66,19.52,3.41,3.49,3.44,48.0,16.0,27.0,91.0,6.0,2.0,0.0,10.0,4.0,19.0,23.0,42.0,58.0,4.0,8.0,58.0,47.0,11.0,19.0,49.0,14.0,1.0,1.41,1.82,0.24,3.0,3.0,0.0,90.92,64.0,64.04,15.0,0.62,0.36,0.36,3.72,3.74,3.72,8474602,8475625,,0.0481134304844425,0.07827443447156612
581,84650098480222,2021,Chara-Aho,NYI,pairing,5on5,18,3988.0,120.0,0.32,0.43,0.46,25.97,1.46,1.66,6.17,0.77,15.32,11.62,1.46,1.43,1.42,25.0,12.0,10.0,47.0,1.0,0.0,0.0,8.0,0.0,10.0,18.0,24.0,36.0,7.0,20.0,28.0,41.0,5.0,10.0,31.0,6.0,0.0,0.77,0.69,0.0,0.0,1.0,0.0,46.12,37.0,36.43,6.0,0.34,0.0,0.0,1.8,1.75,1.75,30.94,3.04,2.12,7.07,0.97,17.36,12.43,2.89,3.14,2.98,31.0,12.0,20.0,63.0,2.0,3.0,0.0,7.0,2.0,12.0,17.0,29.0,41.0,9.0,24.0,25.0,30.0,8.0,6.0,28.0,10.0,5.0,0.72,1.13,1.19,1.0,1.0,0.0,64.65,43.0,44.02,2.0,0.43,0.63,0.63,2.85,2.93,2.82,8465009,8480222,,-0.011370258383727294,0.0
586,84740278475747,2021,Nemeth-Braun,NYR,pairing,5on5,3,1748.0,10.0,0.31,0.51,0.5,11.91,0.49,0.66,3.43,0.4,7.01,5.0,0.49,0.48,0.48,14.0,3.0,4.0,21.0,0.0,0.0,0.0,3.0,0.0,7.0,7.0,14.0,17.0,1.0,2.0,13.0,11.0,1.0,2.0,16.0,1.0,0.0,0.39,0.11,0.0,0.0,0.0,0.0,20.53,17.0,16.66,0.0,0.13,0.0,0.0,0.63,0.61,0.61,12.41,1.11,0.82,2.92,0.4,6.99,4.75,1.01,1.13,1.03,15.0,2.0,3.0,20.0,3.0,2.0,1.0,5.0,0.0,1.0,6.0,12.0,14.0,2.0,4.0,10.0,17.0,4.0,2.0,13.0,3.0,1.0,0.44,0.4,0.27,2.0,1.0,0.0,21.03,17.0,17.76,0.0,0.17,0.44,0.44,0.85,0.86,0.85,8474027,8475747,,0.1032537274537908,0.05128225818283183
588,84735078476441,2021,Edmundson-Petry,MTL,pairing,5on5,17,14044.0,30.0,0.52,0.47,0.5,115.72,10.58,7.97,28.01,3.66,62.64,45.14,10.07,10.27,9.76,127.0,31.0,53.0,211.0,13.0,10.0,1.0,21.0,2.0,53.0,59.0,114.0,145.0,17.0,34.0,141.0,99.0,32.0,69.0,116.0,27.0,15.0,3.28,3.13,4.17,7.0,4.0,2.0,201.69,158.0,150.79,49.0,1.68,2.32,2.32,9.93,9.56,9.4,117.55,9.87,7.7,27.17,3.62,62.72,47.93,9.45,10.26,9.83,125.0,34.0,77.0,236.0,11.0,8.0,3.0,37.0,3.0,53.0,47.0,114.0,148.0,13.0,26.0,115.0,94.0,30.0,65.0,119.0,33.0,7.0,3.7,3.99,2.19,5.0,3.0,3.0,246.12,159.0,165.78,45.0,1.6,2.19,2.03,9.44,9.82,9.67,8473507,8476441,,0.07342609771181197,-0.037448553850505606
590,84764738478452,2021,Jones-Murphy,CHI,pairing,5on5,30,11877.0,139.0,0.48,0.46,0.45,75.04,5.96,4.82,18.67,2.57,43.51,32.48,5.87,5.99,5.9,84.0,24.0,46.0,154.0,10.0,5.0,0.0,23.0,2.0,23.0,45.0,74.0,98.0,16.0,35.0,76.0,94.0,27.0,28.0,88.0,15.0,5.0,2.87,1.64,1.45,5.0,4.0,1.0,153.87,108.0,108.95,25.0,0.98,1.06,1.06,5.88,5.93,5.88,91.67,6.41,5.96,21.39,2.9,54.84,39.51,6.31,6.53,6.43,101.0,30.0,49.0,180.0,9.0,3.0,0.0,21.0,2.0,37.0,59.0,92.0,122.0,13.0,29.0,89.0,91.0,26.0,29.0,107.0,21.0,3.0,2.93,2.78,0.7,4.0,3.0,2.0,182.91,131.0,132.51,24.0,1.22,0.53,0.53,7.1,7.25,7.17,8476473,8478452,,-0.012232350951056292,0.02461269588519721
591,84757968479578,2021,Fitzgerald-Pysyk,BUF,pairing,5on5,13,1170.0,111.0,0.24,0.3,0.27,3.81,0.3,0.13,0.82,0.11,1.83,2.0,0.3,0.32,0.32,6.0,2.0,4.0,12.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,5.0,7.0,1.0,2.0,7.0,5.0,2.0,1.0,8.0,0.0,0.0,0.3,0.0,0.0,1.0,0.0,0.0,12.21,8.0,8.33,1.0,0.03,0.0,0.0,0.13,0.14,0.14,13.7,0.98,0.82,3.59,0.5,7.98,6.25,0.97,1.01,0.99,13.0,9.0,6.0,28.0,0.0,1.0,0.0,2.0,0.0,6.0,13.0,13.0,22.0,2.0,4.0,4.0,5.0,0.0,1.0,19.0,3.0,0.0,0.7,0.29,0.0,0.0,0.0,0.0,29.41,22.0,22.92,0.0,0.17,0.11,0.11,0.91,0.95,0.95,8475796,8479578,,-0.1865802218403374,-0.16302057281161764
592,84774628480839,2021,Dahlin-Hagg,BUF,pairing,5on5,27,1749.0,213.0,0.55,0.49,0.49,15.73,1.12,0.91,3.74,0.46,8.13,6.65,1.12,1.12,1.11,14.0,7.0,5.0,26.0,2.0,1.0,0.0,1.0,0.0,5.0,12.0,12.0,19.0,3.0,9.0,4.0,9.0,2.0,3.0,17.0,3.0,1.0,0.44,0.35,0.33,1.0,1.0,0.0,25.16,21.0,20.46,2.0,0.18,0.33,0.33,0.98,0.96,0.95,14.97,0.93,1.11,3.32,0.49,9.5,6.64,0.91,0.92,0.9,19.0,3.0,5.0,27.0,2.0,0.0,0.0,4.0,1.0,9.0,6.0,17.0,20.0,5.0,13.0,5.0,21.0,3.0,4.0,18.0,4.0,0.0,0.53,0.4,0.0,0.0,2.0,0.0,26.92,22.0,21.84,1.0,0.22,0.0,0.0,1.15,1.14,1.12,8477462,8480839,,-0.010191959434987408,0.020679645605036157
594,84767798477359,2021,Hunt-Poolman,VAN,pairing,5on5,6,2768.0,25.0,0.66,0.54,0.6,27.06,2.34,1.78,6.53,0.91,13.44,11.0,2.22,2.34,2.22,29.0,7.0,9.0,45.0,3.0,4.0,1.0,7.0,0.0,13.0,9.0,26.0,33.0,2.0,7.0,25.0,23.0,3.0,8.0,28.0,5.0,3.0,0.88,0.56,0.9,2.0,0.0,1.0,44.1,36.0,35.78,3.0,0.37,0.63,0.63,2.08,2.08,2.05,17.1,1.21,1.09,4.21,0.54,9.71,7.24,1.19,1.18,1.17,18.0,6.0,14.0,38.0,4.0,0.0,0.0,7.0,0.0,7.0,6.0,14.0,20.0,6.0,15.0,22.0,17.0,6.0,9.0,18.0,5.0,1.0,0.48,0.5,0.23,1.0,2.0,1.0,38.31,24.0,23.61,3.0,0.22,0.0,0.0,1.44,1.4,1.38,8476779,8477359,,0.054201323538340174,0.042809154107677494
597,84788518479026,2021,Carrier-Myers,NSH,pairing,5on5,12,2687.0,80.0,0.46,0.41,0.4,17.3,1.96,1.05,3.98,0.57,9.34,7.1,1.72,1.99,1.74,20.0,4.0,7.0,31.0,2.0,2.0,1.0,6.0,0.0,5.0,9.0,18.0,22.0,3.0,6.0,15.0,41.0,4.0,9.0,17.0,5.0,2.0,0.5,0.58,0.88,0.0,1.0,1.0,31.02,24.0,23.95,5.0,0.22,0.88,0.88,1.3,1.31,1.29,25.12,2.33,1.84,5.84,0.85,14.8,10.33,2.26,2.31,2.24,24.0,12.0,8.0,44.0,0.0,2.0,0.0,7.0,0.0,13.0,14.0,24.0,36.0,3.0,8.0,20.0,23.0,6.0,7.0,27.0,7.0,2.0,0.87,0.74,0.72,0.0,0.0,0.0,43.7,36.0,36.0,2.0,0.38,0.44,0.44,2.27,2.25,2.18,8478851,8479026,,-0.0797999270567395,-0.07260573819320343
601,84768928478859,2021,Mikkola-Parayko,STL,pairing,5on5,52,32545.0,175.0,0.47,0.43,0.44,216.54,20.73,15.4,49.64,7.33,120.32,88.58,20.04,21.25,20.53,224.0,78.0,82.0,384.0,22.0,23.0,6.0,42.0,5.0,90.0,120.0,202.0,280.0,33.0,69.0,243.0,195.0,75.0,77.0,215.0,68.0,19.0,6.81,8.49,5.43,9.0,5.0,8.0,394.97,302.0,309.26,48.0,3.2,4.5,4.75,19.18,19.65,19.38,279.11,23.63,18.62,67.07,9.49,156.57,115.62,22.63,23.53,22.52,279.0,112.0,114.0,505.0,28.0,21.0,4.0,55.0,4.0,141.0,142.0,251.0,363.0,39.0,79.0,266.0,222.0,86.0,73.0,302.0,68.0,21.0,9.51,8.03,6.09,14.0,10.0,4.0,494.84,391.0,383.97,48.0,3.84,5.14,5.18,22.29,22.16,21.63,8476892,8478859,,-0.029945455659741327,-0.015028584672435175
602,84741628475718,2021,Muzzin-Holl,TOR,pairing,5on5,37,27304.0,101.0,0.53,0.5,0.51,236.3,21.39,16.52,55.47,7.78,133.11,95.74,20.73,21.88,21.22,231.0,99.0,116.0,446.0,18.0,16.0,2.0,59.0,8.0,106.0,123.0,213.0,312.0,31.0,62.0,218.0,178.0,64.0,84.0,235.0,79.0,16.0,7.29,9.54,4.55,4.0,10.0,4.0,458.01,330.0,337.37,54.0,3.41,3.36,3.36,21.44,21.94,21.52,231.77,18.93,15.28,53.33,7.44,130.02,97.0,18.3,18.63,18.02,238.0,84.0,118.0,440.0,24.0,13.0,4.0,55.0,6.0,99.0,125.0,214.0,298.0,20.0,40.0,192.0,240.0,74.0,98.0,245.0,63.0,14.0,7.53,7.21,4.19,11.0,8.0,5.0,430.35,322.0,315.96,72.0,3.15,3.45,3.45,18.64,18.38,18.16,8474162,8475718,,-0.03264483860510348,-0.04575970564649279
606,84754628482641,2021,Kiersted-Gudas,FLA,pairing,5on5,7,1370.0,46.0,0.24,0.48,0.47,6.15,0.3,0.38,1.43,0.23,3.65,3.02,0.3,0.27,0.27,9.0,0.0,5.0,14.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,9.0,9.0,2.0,4.0,11.0,16.0,2.0,4.0,8.0,1.0,0.0,0.18,0.12,0.0,0.0,0.0,0.0,12.95,9.0,8.38,2.0,0.08,0.0,0.0,0.38,0.35,0.35,7.83,0.95,0.55,1.66,0.23,3.74,2.87,0.95,1.07,1.07,9.0,1.0,5.0,15.0,3.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,7.0,2.0,4.0,14.0,17.0,5.0,2.0,6.0,3.0,1.0,0.27,0.41,0.27,0.0,2.0,1.0,17.06,10.0,11.21,2.0,0.12,0.0,0.0,1.07,1.2,1.2,8475462,8482641,,-0.012085553356675272,-0.07136109455278328
608,84764628476923,2021,Severson-Hamilton,NJD,pairing,5on5,50,2831.0,435.0,0.4,0.6,0.6,35.47,2.28,2.19,8.35,1.19,20.25,15.73,2.22,2.25,2.19,34.0,16.0,16.0,66.0,2.0,1.0,1.0,8.0,1.0,15.0,23.0,32.0,48.0,2.0,4.0,6.0,15.0,4.0,5.0,39.0,11.0,0.0,1.13,1.16,0.0,0.0,2.0,0.0,65.76,50.0,50.0,3.0,0.44,0.19,0.19,2.53,2.51,2.46,25.07,3.48,1.88,5.2,0.83,12.89,8.72,3.0,3.57,3.09,26.0,7.0,11.0,44.0,4.0,4.0,1.0,4.0,2.0,7.0,12.0,22.0,29.0,3.0,6.0,27.0,14.0,13.0,4.0,16.0,13.0,4.0,0.56,1.55,1.37,0.0,2.0,2.0,45.73,33.0,34.26,3.0,0.39,1.11,1.11,2.77,2.84,2.66,8476462,8476923,,0.09308111833990373,0.08367799665459497
610,84650098476429,2021,Chara-Mayfield,NYI,pairing,5on5,41,3261.0,324.0,0.38,0.46,0.45,18.1,1.26,1.35,4.42,0.65,10.47,7.85,1.25,1.24,1.23,17.0,9.0,13.0,39.0,0.0,3.0,0.0,7.0,2.0,3.0,11.0,17.0,26.0,4.0,14.0,14.0,38.0,3.0,4.0,21.0,5.0,0.0,0.67,0.59,0.0,0.0,0.0,0.0,38.75,26.0,25.51,3.0,0.28,0.12,0.12,1.42,1.39,1.38,23.96,2.06,1.59,5.56,0.71,12.66,9.42,2.04,2.1,2.08,25.0,7.0,14.0,46.0,2.0,1.0,0.0,4.0,0.0,8.0,17.0,23.0,30.0,1.0,5.0,10.0,14.0,8.0,12.0,22.0,8.0,2.0,0.5,1.03,0.53,1.0,1.0,0.0,47.37,32.0,32.71,5.0,0.33,0.27,0.27,2.12,2.14,2.13,8465009,8476429,,-0.031677354090940246,0.031428675740405476
612,84793888480070,2021,Stillman-Mitchell,CHI,pairing,5on5,5,1182.0,30.0,0.45,0.42,0.38,9.19,0.74,0.61,2.18,0.27,4.72,3.48,0.73,0.76,0.75,5.0,7.0,6.0,18.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,4.0,11.0,1.0,2.0,4.0,14.0,1.0,3.0,8.0,4.0,0.0,0.26,0.48,0.0,1.0,0.0,0.0,18.32,12.0,12.27,2.0,0.13,0.0,0.0,0.87,0.89,0.88,14.77,0.92,0.9,3.76,0.44,8.07,5.91,0.87,0.88,0.83,15.0,5.0,5.0,25.0,1.0,1.0,0.0,3.0,0.0,6.0,9.0,14.0,19.0,1.0,2.0,5.0,10.0,2.0,4.0,17.0,2.0,1.0,0.37,0.29,0.26,1.0,0.0,0.0,24.74,20.0,19.73,1.0,0.19,0.26,0.26,0.85,0.83,0.82,8479388,8480070,,0.012943960149439604,0.010287178988799495
613,84650098472382,2021,Chara-Greene,NYI,pairing,5on5,48,4016.0,400.0,0.56,0.4,0.44,32.95,3.1,2.26,7.6,1.08,17.54,13.42,2.82,3.0,2.74,34.0,11.0,6.0,51.0,4.0,4.0,0.0,9.0,0.0,13.0,15.0,30.0,41.0,4.0,11.0,24.0,28.0,7.0,15.0,36.0,5.0,4.0,1.16,0.61,1.34,3.0,1.0,0.0,50.92,45.0,45.0,10.0,0.47,1.29,1.29,2.29,2.27,2.24,40.42,2.49,2.41,9.66,1.33,24.23,17.87,2.45,2.54,2.5,38.0,20.0,19.0,77.0,3.0,2.0,0.0,7.0,1.0,21.0,24.0,35.0,55.0,2.0,7.0,24.0,25.0,7.0,18.0,51.0,6.0,1.0,1.57,0.71,0.21,2.0,1.0,0.0,78.97,58.0,59.36,10.0,0.48,0.08,0.08,2.89,2.95,2.91,8465009,8472382,,-0.021357880678264107,-0.031779064101238874
614,84752278478915,2021,Niku-Wideman,MTL,pairing,5on5,4,2278.0,11.0,0.53,0.48,0.53,19.55,1.49,1.33,4.83,0.67,11.29,8.39,1.47,1.5,1.49,18.0,10.0,5.0,33.0,0.0,0.0,0.0,2.0,0.0,10.0,16.0,18.0,28.0,2.0,7.0,16.0,10.0,3.0,5.0,22.0,3.0,3.0,0.49,0.26,0.73,0.0,0.0,0.0,31.96,28.0,27.74,5.0,0.27,0.0,0.0,1.76,1.77,1.75,18.45,1.33,1.23,4.03,0.53,10.47,7.41,1.31,1.35,1.33,15.0,10.0,11.0,36.0,3.0,0.0,0.0,4.0,1.0,10.0,7.0,12.0,22.0,4.0,11.0,19.0,20.0,4.0,7.0,18.0,6.0,1.0,0.46,0.63,0.24,2.0,1.0,0.0,38.03,25.0,25.6,3.0,0.25,0.0,0.0,1.58,1.6,1.58,8475227,8478915,,0.025970383960162435,-0.021038357225881432
616,84816008481606,2021,Bjornfot-Spence,LAK,pairing,5on5,7,1301.0,44.0,0.23,0.37,0.39,8.72,0.45,0.55,2.04,0.26,4.94,3.77,0.45,0.46,0.46,7.0,5.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,7.0,12.0,0.0,0.0,6.0,5.0,2.0,0.0,10.0,2.0,0.0,0.22,0.23,0.0,0.0,0.0,0.0,16.4,12.0,12.33,0.0,0.11,0.0,0.0,0.56,0.58,0.58,13.94,1.47,1.06,3.09,0.44,7.61,5.32,1.45,1.42,1.39,12.0,7.0,8.0,27.0,0.0,1.0,0.0,3.0,0.0,5.0,10.0,12.0,19.0,0.0,0.0,7.0,5.0,5.0,4.0,10.0,9.0,0.0,0.32,1.16,0.0,0.0,0.0,0.0,27.25,19.0,18.83,4.0,0.22,0.18,0.18,1.51,1.46,1.45,8481600,8481606,,-0.21121165115477425,-0.12249915958315322
618,84775418480884,2021,Mermis-Addison,MIN,pairing,5on5,2,1448.0,6.0,0.48,0.44,0.42,12.24,1.0,0.79,2.79,0.41,6.99,5.02,1.0,1.01,1.0,14.0,3.0,6.0,23.0,2.0,1.0,1.0,2.0,0.0,3.0,9.0,12.0,15.0,3.0,6.0,19.0,8.0,3.0,3.0,13.0,3.0,1.0,0.4,0.32,0.28,1.0,0.0,1.0,23.23,17.0,16.96,3.0,0.16,0.28,0.28,0.88,0.88,0.88,17.06,1.09,1.12,4.26,0.51,9.42,6.61,1.07,1.11,1.09,16.0,7.0,6.0,29.0,1.0,1.0,0.0,5.0,2.0,5.0,9.0,15.0,22.0,0.0,0.0,12.0,7.0,1.0,4.0,19.0,4.0,0.0,0.57,0.52,0.0,0.0,1.0,0.0,28.35,23.0,22.95,2.0,0.23,0.16,0.16,1.16,1.17,1.15,8477541,8480884,,-0.12724742826204655,-0.16775510204081628
621,84709668477369,2021,Giordano-Soucy,SEA,pairing,5on5,27,10826.0,138.0,0.49,0.54,0.53,84.93,6.56,6.03,20.13,2.89,49.5,34.89,6.42,6.57,6.44,87.0,33.0,45.0,165.0,7.0,6.0,1.0,27.0,6.0,35.0,39.0,80.0,113.0,19.0,47.0,76.0,63.0,27.0,24.0,91.0,27.0,2.0,2.68,3.37,0.51,2.0,4.0,1.0,162.54,120.0,119.13,8.0,1.25,0.89,1.01,6.79,6.79,6.71,76.59,6.87,4.95,18.03,2.53,41.5,32.12,6.71,6.91,6.76,73.0,33.0,33.0,139.0,7.0,7.0,1.0,17.0,2.0,26.0,47.0,66.0,99.0,13.0,35.0,110.0,77.0,20.0,27.0,77.0,23.0,6.0,2.22,2.64,2.01,4.0,3.0,0.0,144.22,106.0,109.01,14.0,1.03,1.56,1.56,6.33,6.4,6.36,8470966,8477369,,0.03692479904479651,0.011778690544647974
624,84706138478136,2021,Middleton-Burns,SJS,pairing,5on5,27,8563.0,147.0,0.43,0.41,0.42,56.34,5.49,4.16,12.64,1.9,31.98,22.83,5.34,5.44,5.29,57.0,22.0,34.0,113.0,8.0,4.0,2.0,8.0,0.0,23.0,36.0,49.0,71.0,9.0,27.0,61.0,82.0,22.0,19.0,54.0,19.0,6.0,1.39,2.35,1.75,2.0,1.0,5.0,112.36,79.0,78.6,12.0,0.86,0.78,1.05,5.3,5.23,5.18,78.93,7.19,5.41,18.74,2.5,44.49,32.68,6.94,7.26,7.01,81.0,30.0,50.0,161.0,9.0,8.0,3.0,15.0,3.0,35.0,41.0,72.0,102.0,11.0,31.0,72.0,43.0,21.0,19.0,82.0,22.0,7.0,2.35,2.72,2.11,4.0,3.0,2.0,163.2,111.0,112.8,8.0,1.12,1.87,1.87,6.43,6.5,6.35,8470613,8478136,,-0.05763653551171832,-0.04388529685337694
628,84757508480884,2021,Merrill-Addison,MIN,pairing,5on5,13,7561.0,45.0,0.64,0.55,0.54,71.13,6.34,4.92,17.09,2.3,38.26,29.1,6.08,6.55,6.28,75.0,23.0,37.0,135.0,8.0,10.0,0.0,14.0,3.0,35.0,28.0,67.0,90.0,10.0,26.0,44.0,54.0,12.0,20.0,70.0,20.0,8.0,1.87,2.32,2.16,4.0,2.0,2.0,136.56,98.0,98.54,7.0,1.02,1.73,1.73,5.63,5.82,5.74,60.93,3.51,3.82,14.2,1.92,35.43,26.12,3.46,3.44,3.39,71.0,14.0,24.0,109.0,7.0,2.0,0.0,18.0,0.0,18.0,40.0,64.0,78.0,13.0,29.0,56.0,67.0,10.0,17.0,69.0,15.0,1.0,1.69,1.58,0.24,5.0,1.0,1.0,107.23,85.0,84.0,10.0,0.77,0.19,0.35,3.93,3.84,3.81,8475750,8480884,,0.0,0.06844034307615038
